customer_id,first_name,last_name,email,phone,loyalty_tier,created_date
1,Amelia,Lee,alee8179@outlook.com,605-858-8517,None,2024-05-22
2,Reese,Scott,rscott4304@proton.me,964-798-8019,Gold,2025-02-12
3,Kai,Anderson,kanderson8348@outlook.com,705-293-1771,Gold,2024-06-05
4,Sam,Ramirez,sramirez1040@proton.me,594-590-8668,None,2025-07-20
5,Alex,Davis,adavis4371@proton.me,987-856-6573,None,2025-03-21
6,Sam,Robinson,srobinson4315@gmail.com,712-980-3927,None,2024-04-18
7,Elliot,Allen,eallen3258@proton.me,356-582-3646,None,2025-06-27
8,Alex,Hill,ahill8005@yahoo.com,219-314-6947,Gold,2024-11-10
9,Reese,Brown,rbrown9295@outlook.com,280-287-8962,Gold,2025-06-29
10,Cameron,Rodriguez,crodriguez9007@icloud.com,369-471-9645,Gold,2025-03-09
11,Parker,Wright,pwright5107@outlook.com,608-887-7118,None,2025-06-13
12,Sophia,Davis,sdavis3681@outlook.com,265-546-1344,Silver,2024-08-23
13,Hayden,Smith,hsmith964@gmail.com,434-269-1514,Gold,2024-03-13
14,Ethan,Thomas,ethomas7953@yahoo.com,419-752-3167,Silver,2025-08-07
15,Amelia,Walker,awalker7749@outlook.com,616-394-2545,None,2025-03-17
16,Emerson,Ramirez,eramirez7651@icloud.com,946-255-2612,None,2024-12-13
17,Avery,Thomas,athomas3116@outlook.com,749-659-3296,None,2024-10-12
18,Liam,Thomas,lthomas7260@gmail.com,763-300-1828,Silver,2025-07-07
19,Alex,Garcia,agarcia2724@outlook.com,616-697-8886,None,2025-02-14
20,Morgan,Hernandez,mhernandez35@icloud.com,599-471-8454,None,2025-12-14
21,Lucas,Young,lyoung3111@outlook.com,503-422-1958,Silver,2025-07-09
22,Morgan,Lee,mlee821@gmail.com,798-688-9238,Gold,2025-06-27
23,Sam,Brown,sbrown1312@proton.me,390-270-2113,Silver,2024-08-28
24,Mason,Davis,mdavis4033@proton.me,792-808-1651,Silver,2025-03-05
25,Amelia,King,aking4272@yahoo.com,409-885-6147,None,2025-02-09
26,Cameron,Martin,cmartin5180@icloud.com,969-274-1152,None,2025-07-30
27,Avery,Jones,ajones3492@proton.me,718-471-3170,Gold,2024-03-11
28,Reese,White,rwhite2584@yahoo.com,648-756-5956,Silver,2025-10-31
29,Ava,Smith,asmith4905@proton.me,879-306-3200,None,2024-04-19
30,Lucas,Martinez,lmartinez4616@yahoo.com,819-415-6617,None,2025-10-11
31,Skyler,Allen,sallen4114@icloud.com,252-294-7939,Gold,2024-02-15
32,Alex,Perez,aperez4291@outlook.com,365-959-8239,Silver,2025-03-13
33,Lucas,Smith,lsmith1232@gmail.com,907-352-9938,None,2025-01-13
34,Lucas,Martinez,lmartinez2088@icloud.com,242-515-6974,Gold,2024-02-10
35,Emerson,Wilson,ewilson1684@outlook.com,562-998-7658,Platinum,2024-06-07
36,Reese,Hernandez,rhernandez6755@outlook.com,225-383-6442,Silver,2025-02-25
37,Reese,Moore,rmoore1771@outlook.com,591-239-8711,None,2025-04-16
38,Emerson,Martin,emartin3652@outlook.com,224-875-4164,None,2024-10-12
39,Casey,Moore,cmoore8346@yahoo.com,609-895-9785,None,2024-01-29
40,Jamie,Taylor,jtaylor9512@outlook.com,471-239-2776,Silver,2024-12-19
41,Jesse,Ramirez,jramirez8379@proton.me,318-594-4114,None,2025-12-26
42,Olivia,Smith,osmith8821@proton.me,903-936-4228,None,2024-03-12
43,Dakota,Flores,dflores2041@yahoo.com,937-507-9308,None,2025-02-22
44,Jesse,Sanchez,jsanchez9083@yahoo.com,330-396-7888,Silver,2025-01-23
45,Charlie,Flores,cflores4930@proton.me,615-761-1006,None,2024-08-03
46,Olivia,Nguyen,onguyen5279@proton.me,676-652-8244,Silver,2025-06-07
47,Emma,Hernandez,ehernandez4649@gmail.com,727-879-6491,None,2024-08-28
48,Elliot,Anderson,eanderson2414@outlook.com,225-247-5011,Platinum,2025-09-17
49,Casey,Robinson,crobinson9431@icloud.com,399-935-7291,None,2024-09-06
50,Drew,Smith,dsmith6965@gmail.com,424-380-9486,None,2025-07-24
51,Reese,Davis,rdavis2184@icloud.com,675-883-9702,Platinum,2025-09-01
52,Jesse,Lewis,jlewis8270@proton.me,636-761-8305,Gold,2025-05-01
53,Sophia,Taylor,staylor4543@outlook.com,984-996-9540,None,2024-09-01
54,Rowan,Lewis,rlewis4681@gmail.com,440-478-6502,None,2025-07-07
55,Riley,Rodriguez,rrodriguez3788@outlook.com,592-910-3503,Silver,2024-03-06
56,Noah,Clark,nclark8890@yahoo.com,677-625-2020,None,2025-03-06
57,Logan,Nguyen,lnguyen9432@gmail.com,589-688-1096,Gold,2024-11-01
58,Logan,Clark,lclark8947@proton.me,817-425-8999,None,2025-03-22
59,Mia,Johnson,mjohnson5507@icloud.com,884-895-7624,Silver,2025-04-23
60,Cameron,Flores,cflores441@proton.me,603-806-1444,None,2025-03-14
61,Cameron,Robinson,crobinson823@outlook.com,466-588-6363,None,2024-11-30
62,Dakota,Harris,dharris6906@yahoo.com,458-283-8705,None,2025-07-06
63,Morgan,Thompson,mthompson1124@outlook.com,999-867-1659,Silver,2024-09-10
64,Quinn,Johnson,qjohnson2496@proton.me,444-329-8758,Silver,2025-07-31
65,Parker,Robinson,probinson6043@yahoo.com,371-820-2876,Silver,2024-06-16
66,Elliot,Miller,emiller420@proton.me,519-789-7149,None,2024-07-22
67,Casey,Nguyen,cnguyen1669@outlook.com,913-991-5941,Gold,2025-09-06
68,Jamie,Torres,jtorres5688@gmail.com,745-638-7071,None,2025-10-25
69,Dakota,Smith,dsmith8031@icloud.com,308-643-6934,Silver,2025-04-15
70,Drew,Ramirez,dramirez8548@outlook.com,866-476-9817,Silver,2025-04-21
71,Olivia,Nguyen,onguyen5280@yahoo.com,451-288-5569,Gold,2024-09-06
72,Liam,Torres,ltorres6209@proton.me,544-229-9098,Gold,2024-07-05
73,Mia,Wilson,mwilson4232@yahoo.com,548-486-5526,Silver,2025-06-13
74,Quinn,Garcia,qgarcia6658@outlook.com,700-768-4937,Silver,2025-10-23
75,Mia,Lewis,mlewis1524@gmail.com,501-426-7625,Silver,2024-11-09
76,Kai,Walker,kwalker8698@proton.me,552-635-6419,None,2025-04-09
77,Rowan,Martin,rmartin3777@yahoo.com,323-938-4155,None,2025-07-02
78,Charlie,Gonzalez,cgonzalez7933@outlook.com,483-941-9595,Silver,2024-04-12
79,Quinn,Jackson,qjackson5912@outlook.com,383-509-1231,Silver,2024-05-09
80,Rowan,Williams,rwilliams9066@gmail.com,499-914-3068,Silver,2025-05-17
81,Avery,Smith,asmith4658@proton.me,680-690-8216,None,2024-02-22
82,Skyler,Walker,swalker1070@gmail.com,610-703-2213,Silver,2025-12-03
83,Morgan,Martinez,mmartinez9221@outlook.com,511-287-5066,None,2025-03-02
84,Hayden,King,hking7381@icloud.com,653-504-8025,None,2025-09-27
85,Morgan,Flores,mflores3404@gmail.com,840-416-5335,Silver,2024-06-09
86,Reese,Lopez,rlopez1229@proton.me,360-202-7693,None,2025-08-31
87,Emma,Jackson,ejackson3792@gmail.com,495-923-5632,Silver,2025-04-09
88,Casey,Anderson,canderson9663@yahoo.com,877-402-7965,None,2024-08-18
89,Drew,Moore,dmoore1169@outlook.com,261-369-6039,Silver,2025-08-05
90,Finley,Lewis,flewis7679@gmail.com,905-511-7594,Gold,2025-05-27
91,Isabella,Young,iyoung1317@icloud.com,812-240-8078,Silver,2025-09-10
92,Skyler,Johnson,sjohnson3750@gmail.com,890-789-1339,Platinum,2025-11-19
93,Rowan,Torres,rtorres2870@gmail.com,681-731-8245,Gold,2024-07-04
94,Olivia,Young,oyoung7700@gmail.com,556-618-6460,None,2024-04-17
95,Sam,Perez,sperez8117@icloud.com,495-878-7561,Gold,2025-07-17
96,Taylor,Robinson,trobinson5153@gmail.com,458-531-2899,Platinum,2025-02-17
97,Ethan,Smith,esmith7569@proton.me,623-255-4073,None,2025-09-29
98,Mia,Lewis,mlewis3335@gmail.com,473-762-3146,Gold,2025-03-24
99,Mia,Davis,mdavis9975@gmail.com,445-926-3594,None,2024-01-15
100,Lucas,Clark,lclark3681@gmail.com,316-672-2924,Silver,2024-06-06
101,Mia,Jackson,mjackson4479@proton.me,625-694-8736,None,2025-07-18
102,Drew,Harris,dharris9820@outlook.com,720-964-3236,Gold,2024-10-09
103,Noah,Perez,nperez4377@proton.me,202-489-5891,Gold,2025-08-16
104,Mia,Martinez,mmartinez8824@icloud.com,695-553-6446,Silver,2025-07-10
105,Logan,Robinson,lrobinson3090@yahoo.com,914-444-7274,None,2025-02-24
106,Taylor,Lee,tlee6246@icloud.com,595-879-3492,None,2024-02-07
107,Cameron,Allen,callen5439@proton.me,302-650-2633,None,2025-04-12
108,Alex,Martinez,amartinez2529@icloud.com,276-680-5342,None,2025-12-10
109,Mason,Garcia,mgarcia8742@yahoo.com,589-524-8994,Gold,2024-02-06
110,Casey,Thomas,cthomas3727@yahoo.com,964-292-8110,Platinum,2025-10-10
111,Avery,Lewis,alewis4906@outlook.com,229-247-6314,Silver,2024-10-27
112,Emerson,White,ewhite2385@icloud.com,450-743-7751,Silver,2024-07-03
113,Sam,Lopez,slopez9985@gmail.com,591-834-4945,None,2025-08-20
114,Drew,Anderson,danderson4161@icloud.com,670-461-1153,Gold,2025-04-21
115,Finley,Wright,fwright1210@outlook.com,652-553-5901,Silver,2025-03-10
116,Skyler,Robinson,srobinson3263@yahoo.com,593-694-2747,None,2025-08-08
117,Emerson,Torres,etorres4837@yahoo.com,222-874-7484,None,2025-08-02
118,Morgan,Hill,mhill4689@icloud.com,994-435-6772,None,2024-07-13
119,Skyler,Rodriguez,srodriguez645@gmail.com,516-651-1546,Silver,2024-05-14
120,Riley,Jackson,rjackson6807@yahoo.com,379-405-3165,Silver,2025-01-09
121,Ava,Allen,aallen2695@yahoo.com,463-693-5835,Silver,2024-12-12
122,Jamie,Robinson,jrobinson2306@gmail.com,972-431-7511,Platinum,2025-07-24
123,Kai,Garcia,kgarcia228@icloud.com,470-749-3024,None,2025-11-19
124,Skyler,Nguyen,snguyen6086@icloud.com,310-891-4830,None,2025-09-26
125,Lucas,Lee,llee3626@proton.me,863-264-8606,Gold,2024-11-05
126,Noah,Davis,ndavis742@outlook.com,238-511-9071,None,2024-08-28
127,Isabella,Rodriguez,irodriguez7432@icloud.com,579-886-9850,None,2024-06-07
128,Noah,Miller,nmiller6686@icloud.com,486-233-7070,None,2025-03-31
129,Reese,White,rwhite6018@gmail.com,757-860-6876,None,2024-10-09
130,Quinn,Davis,qdavis1501@icloud.com,878-417-1349,None,2024-12-07
131,Reese,Rodriguez,rrodriguez3362@proton.me,270-983-4394,Silver,2024-08-26
132,Dakota,Martinez,dmartinez46@proton.me,483-348-3129,None,2024-06-27
133,Jamie,Johnson,jjohnson243@outlook.com,566-443-6304,None,2024-09-28
134,Morgan,Rodriguez,mrodriguez8619@icloud.com,316-963-2041,None,2025-01-05
135,Ethan,Nguyen,enguyen7405@gmail.com,715-426-1710,Silver,2025-11-05
136,Ava,Martin,amartin510@icloud.com,262-690-7580,None,2024-04-20
137,Mia,Lewis,mlewis1323@gmail.com,529-822-3430,None,2024-10-08
138,Lucas,Lee,llee9787@icloud.com,743-501-8433,None,2025-03-16
139,Avery,Davis,adavis3522@proton.me,640-662-4743,None,2025-04-09
140,Mason,Clark,mclark5120@gmail.com,637-520-5176,None,2024-06-05
141,Emma,Jones,ejones1398@gmail.com,295-642-2582,Silver,2025-01-16
142,Cameron,Scott,cscott9608@gmail.com,775-775-6400,Silver,2025-02-24
143,Emerson,Ramirez,eramirez4712@gmail.com,814-519-6761,None,2025-06-03
