server_id,server_name,role,hire_date
1,Sam T.,Server,2024-02-01
2,Finley B.,Server,2023-08-06
3,Liam H.,Server,2022-11-26
4,Isabella J.,Server,2022-12-26
5,Drew H.,Server,2022-03-26
6,Jesse T.,Server,2023-06-18
7,Kai L.,Server,2022-03-13
8,Jesse T.,Server,2024-07-07
9,Isabella H.,Server,2022-09-06
10,Jordan S.,Host,2022-10-25
11,Liam L.,Server,2024-11-05
12,Dakota J.,Server,2023-08-17
13,Amelia M.,Bartender,2024-06-24
14,Dakota D.,Server,2022-03-24
15,Cameron S.,Server,2022-02-20
16,Mason F.,Bartender,2024-07-02
17,Emerson G.,Server,2023-02-04
18,Ava A.,Bartender,2023-07-24
19,Quinn J.,Server,2024-07-01
20,Riley A.,Server,2024-10-01
21,Jesse H.,Server,2022-04-25
22,Kai S.,Server,2024-05-25
23,Kai H.,Server,2023-08-06
24,Emerson T.,Server,2024-07-01
25,Lucas G.,Server,2024-06-28
26,Noah L.,Server,2024-05-18
27,Noah R.,Bartender,2022-06-26
28,Drew W.,Server,2024-12-11
29,Dakota J.,Host,2024-02-09
30,Riley S.,Server,2023-07-14
31,Noah L.,Server,2022-10-08
32,Quinn L.,Bartender,2023-08-16
33,Lucas Y.,Server,2023-09-11
34,Elliot Y.,Server,2024-08-07
35,Hayden J.,Bartender,2022-11-12
